"filename", "language", "Rust", "comment", "blank", "total"
"/home/vadim/konpac/src/package/install.rs", "Rust", 7, 1, 1, 9
"/home/vadim/konpac/src/package/utils.rs", "Rust", 29, 1, 3, 33
"/home/vadim/konpac/src/repo/utils.rs", "Rust", 21, 4, 11, 36
"Total", "-", 57, 6, 15, 78
